text,source
['嘿，姑娘。\n自卑是很严重影响自己仕途和生活的，明明你可以站在山顶俯瞰众生，却只能在山脚仰望其他人。\n我不知道你的自卑来源于何处，看起来你自己也不清楚自己的自卑感由何而来，也许是因为你的家庭，也许是因为你经历过的事情。你应该自己回想一下是从什么时候开始有的这种感觉，然后去面对。没有人生下来就是比其他人差的，你自己也要时刻告诉自己，你不比任何人差劲。\n我以前也有过自卑的时候，是因为外貌而受同学的排挤，我甚至一度想要放弃自己，但是后来去喜欢了一个非常自信的女艺人，我看着她的生活，听着她的故事，也开始恢复了自信心，同时也在改变我自己。性格、外貌、脾气种种都改变了，现在的朋友也都会对我讲“我真,真人
"['虽然父母管教严格，但实际上你并没有真正遇到什么挫折，真正经历过人生风雨的人不会再把高考当回事儿了，由此可见你可能一直都处于被过度保护的状态。成长是个艰难且十分耗时的过程，没有人一夜可以长大。你看到的那些成熟的人也是付出过各种代价才成为今天这般模样的。同样，只要你肯下定决心，就一定可以变得更好，说“有心无力”实际上还是没有下百分百的决心，成长的过程毕竟会有苦涩，你还没有做好自己吃苦承担一切的准备。现在网络发达，心理学的知识很容易找得到，网上也有这么多热心愿意提供帮助的人，但如果你不下定决心展开行动，那只能永远躺在自怨自艾里。\n', '这个问题很学术，或者跟你分享一个我个人的方法。\n当我遇",真人
"['会做的题就不能做错，这个要求真的好高啊～\n你的女儿很聪明，懂得如何给自己留有余地。\n相反，似乎妈妈给女儿的空间就比较小了。\n当女儿一直在担心一件事情出现时，又怎么有能力集中精力于另一件事呢～\n您说是吗？\n', '作为家长，是给孩子更多的启示、出路和可能性，始终用正向的、肯定的、积极的方式，传递给孩子信心、勇气和力量，激励孩子会成为那个好的，而不是去用那些负面的、否定的、消极的方式，去束缚孩子，告诉他什么是不可能的，堵住孩子的出路，减少孩子的选择，削弱孩子的力量，暗示孩子会成为那个坏的。\n', '你好，看起来孩子是很有智慧的，孩子对学习的态度，是家长教育的结果。这说明你们对孩子的",真人
"['在亲密关系中，我们习惯了用伤害和负面的情绪来表达对爱和连接的渴望，是因为我们内在有个信念，自己不值得被爱。意识到这一点，我们是不是可以用正面的表达方式告诉他，跟他表达你内心的渴望和爱，要想得到他的爱，你必须敞开心扉，学会表达爱付出爱。愿意陪你深度探讨关于爱和被爱，欢迎私信或关注我！\n', '你好，能够理解你的心情。全职妈妈是一个很辛苦的职业。你的困扰在于你把自己限制在了家里。同时就对家人特别是老公有了过高的期待，要知道，一个人不能满足你的所有期待，这样只能让双方都感觉委屈。试着建立你自己的生活圈子，有自己的朋友圈，有自己的兴趣爱好，自己慢慢自己的需求，你就能生活得很充实，对老公的要求就不",真人
['当我们在自恋中的时候，很容易给自己带来痛苦——对方应该如我所愿，否则我就会不满，愤怒，感觉到被背叛。\n要帮自己卸下这个痛苦。认清楚自己的自恋。\n当初分手的时候关系已经结束，对方是一个自由独立的个体。尊重他，也允许她去追求自己的情感和幸福。\n当你再次和她在一起的时候。现在的她，是集所有的经历于一体的眼前这个人。你爱她吗？是真实的她，不是你理想化的对方。\n如果你接受不了她的经历，说明你爱的不是眼前的真实的她，你爱的是自己理想化的，想象中的对方。你爱的是自己的想象。想象在对方身上的投射。\n那么这个就回归到你内在，接纳不够好的自己。意味着你可以接纳不够完美的对方。\n所以应射出来的是我们,真人
"['我们都是孤独的个体，没有人可以和你完全地融合，满足你内在的所有需求。亲密关系上的障碍都是为每个人量身定做的。如果对方性格、行为是你能应付和掌握的，而且和你是不起冲突的，那你一定不会爱上他或是碰到他。\n夫妻之间有冲突一定是双方都坚持自己的立场不肯改变，而且还想要对方先改，所以是无解的。想要解决亲密关系的问题，先从了解自己怎么了开始。\n离婚可以是一种选择，但是如果搞不清楚自己在婚姻关系里怎么了，以后再遇到别人会再次重复目前的困境。如果了解了自己怎么了，确定对方不是适合自己的人，这个时候离婚是更成熟的决定。\n\n', '敢于面对自己的人婚姻才有幸福的可能，两个人的差异很正常的，来自不同的原",真人
"['面对这样的难题，确实会让你特别的难过。一边是旧情，一边是新爱，还有家庭的牵绊。\n只是感情的事儿可以稍微凭感觉，而不是靠完全头脑分析来解决，头脑分析的东西最终一般都会被自己推翻。\n所以撇开所有外在的附加条件，或者把附加条件汇聚成一种感觉，然后去问问内心深处渴望和哪个人共处一生，去向自己的内心询问真实的答案。\n', '你好，遇到这样的情况确定挺为难，在作出选择之前，建议你作一次心理辅导，探查前次婚姻失败的深层原因，你的内心需求和情感模式，对两个男人作一个大致评估，也许对你的选择和未来的婚姻会有帮助。希望可能帮到你，祝好！\n', '同情是最深的伤害喔，不要因为同情而和一个男人过从甚密，他",真人
"['所以你一直在纠结。并且沉醉其中。一方面要委屈自己，另一方面还要讨好他人，这种人格的不对等也不是真正的可匹敌与对抗的友谊。其实你的朋友也没有真正看到你，你们一直活在各自的世界，为扺抗孤独而抱团但从末有过真正心灵的交集。一个没有自我的人是无法交到真正的朋友的，因为他都没有看到自己的心又怎么有力量去爱别人呢\n', '其实我也是有这样的心里，我感觉自己很依赖朋友，很怕被朋友遗忘，不喜欢。但其实我心里是知道原因的，那就是朋友圈不同，她们都很优秀，都有能力，都能勇于发表自己的想法和观点，而我只是个连上台都不敢的人，常常自卑，担忧，有时觉得自己付出那么多，拼命地逗她们笑。而她们并没有给我好脸色时，我甚",真人
"['试着回忆一下之前的成功经验，有没有哪些事情成功做到然后让自己信心增加，从这些成功经验中总结自己的优势和能力。\n在和他人交往过程中，试着先学会说不，你有表达的权利，从一些小事开始做起，试着去做。\n', '听上去你有些缺乏自信心，可能与你早期的生活环境有关，试着从接纳自己的不完美开始，一点点找回自信，加油！\n', '你好，能够理解你的心情。每个人都有自己的缺点，也一定有自己的优点，你的困扰在于你内心的自卑，看不到自己的优点，这就会让你很压抑，也很敏感，不能为自己的生活做主，依赖别人就会被别人掌控，你能选择来这里求助，就非常的不简单。咨询是一个过程，我需要了解更多的情况，才能帮你分析解决问",真人
"['我想生活总要留给我们一些功课来面对，在复杂的关系里你努力付出，维持。非常的不易，在辛苦中你渐渐迷失了自己，才会有了受害者情结，你公公的事件只是你情绪的一个发泄口和替罪羊，我想我们需要和专业人士一起去探索一下内在的期待与渴望，增加爱的能力，勇敢面对你所选择的生活。面对便是疗愈的开始。\n', '我能感觉到你内心的委屈。付出太多，往往让对方认为这是你分内的事情。我一直认为婚姻里双方付出要对等，否则的话，迟早有一方会内心不平衡。现在看你的叙述，你是为婚姻付出比较多的一方。我想你需要想办法让他们更多的付出。\n', '老公刚刚失去母亲，他也畏惧指责父亲，因为除了你和孩子，他的至亲也就只有老父亲了。",真人
"['能看出你特别关心你弟弟。希望弟弟幸福。同时弟弟的人生是他自己的，留给他自己选择，重要的不是你的感觉，是他的，也许他喜欢这样甚至很享受这样的关系，即使他觉得不好,也只有他想改变才能改变，他不想，谁都帮不了他。你如此想帮助你弟弟，可能源于你潜意识来想帮助和拯救自己，你在你弟弟身上投射了自己的需要\n', '相信是祝福的力量，而担忧是诅咒，相信他们体验了才能找到对她们之间的步伐，唯有祝福和信任。同时你要觉察自己为何会比较担心弟弟会受伤害，是不是一直以来你都为他承担太多，觉察边界是否清晰。\n', '你好！看起来，你很担心弟弟被女朋友欺负吃亏。其实，小情侣一个愿打一个愿挨，他们自己的内在体验并非像",真人
"['你好，能够理解你的心情。尽管父亲对你的养育方式很深的伤害过你，但并不是说，父亲所有的行为都是不好的。人无完人，有缺点也有优点，不能全盘接受，更不能全盘否定，取其精华去其糟粕，这就需要你自己有一个比较客观的判断标准，你能选择来这里求助，就非常的不简单。咨询是一个过程，我需要了解更多的情况，才能帮你分析解决问题。我帮助过很多和你一样困扰的人，相信也可以帮到你。可以多说一些你的情况吗？\n', '如果你把父亲对你的影响和本身自己心里乐意做的事产生的结果分开来处理，会更加的清晰，内心想要的快乐到底是什么。\n', '为你的坚强喝彩，不管是不是因为愤怒而去做这些善良的事，我都看到了你心理的韧性，坚韧",真人
"['确实，在家庭当中需要规则，这个规则约束家庭当中所有成员。如果你的爱人愿意的话建议进行家庭的心理治疗。\n', '从你的描述来看，你现在本身工作压力大，家里又得不到老公的温暖和支持，所以会感觉不好。\n能看出来你和老公之间的互动模式是有问题的。\n你们这样的模式是从什么时候开始的？你自己有没有分析过为什么会出现这样的循环模式？\n从我的经验上来判断，这很可能跟你们各自的原生家庭带给你们的影响有关。\n你的情况最好是约个咨询。\n', '你好:\n非常理解你的处境和心境。不管是谁遇到你这样情况也会焦躁的。问题是，你焦躁，生气，怒吼，情况改变了吗？ 没有呀。\n有句话讲，做女人难，做个强女人更难",真人
"['你好，能够理解你的心情，不知道你多大了？你在用淡漠来掩饰自己内心的喜欢，你不敢表露自己的内心，说明你内心的自卑或者强烈的不安全感，这样的情绪反应和你的成长经历有关，你能选择来这里求助，就非常的不简单。咨询是一个过程，我需要了解更多的情况，才能帮你分析解决问题。我帮助过很多和你一样困扰的人，相信也可以帮到你。可以多说一些你的情况吗？\n', '1.遇到有好感的男生，害羞是很正常的啊，你要做的是撩他啊。\n2.我是恋爱心理咨询师，欢迎来咨询我，让我为你订立属于你的恋爱方案。\n', '自然的前提是承认自己的感受啊～\n喜欢一个男生是很好的事情，说明你心中有爱。\n而且会害羞的女孩是很可爱的。\",真人
"['聊天其实分成两部分，一种是述说，一种是倾听，如果自己不知道如何说，那就尝试着去倾听，当一个会听的人，会远比会说更促进关系的发展。\n', '告诉你一个方法，尝试一下：试着坦然，不主动找话题，平静的面对尴尬，你看看会有什么结果。期待反馈！祝好！\n', '自身成长中就有懦弱、自卑，性格敏感的表现，导致社会适应和人际交往中，自信心不足，非常在意别人对自己的评价，而你自身懦弱自卑的性格，也让你在交往中可以包裹自己真实的想法，不敢随心所欲的表达自己想法，交谈的时候感觉无话可说，或是仅限于表面的客套话，不如别人谈的开。专注于性格原因引起的交往困难、焦虑紧张等问题的心理咨询，点击头像可以了解更多。\n",真人
"['婚后生活尤其是当孩子小时，女人投入的会更多一些，这时候需要在工作和家庭之间找到一个平衡。孩子不能不管，是一种责任，工作上又想提升自己，这种纠结的心情会让自己不安于现状产生很多情绪上的问题。和老公沟通交流，在工作和孩子之外给自己提供一些个人时间呢。\n', '同样作为女性，非常理解你的压力、情绪和困扰。这真的很不公平。大概很多女性都在内心问过这样的问题：“为什么？”不管是因为什么，我们终究要安排好自己的生活，自己才能感到幸福，而不是像陀螺一样毫无意义的旋转。你面对的压力需要应对和管理，心态需要调节。如果需要，可以咨询我。祝好！\n', '不是这样的，结婚生子其实是会让一个女人变得更丰富更完满",真人
"['焦虑而睡不着，你意识到了这是一个问题。这点很好，同时你有意识的想要解决问题，这也很好。可是你试图解决问题的方式：1、旅游，这有点逃避的意味。2、找人陪（小三）。基于此，你用理智压制住了这个念头。但是，你由此又产生了压抑之感觉。你的这种逃避式的解决问题的方式。这是一个问题，相比较之前的焦虑问题，你的这种对问题的解决方式才是最大的问题。\n\n', '焦虑是个体对某种预期的不安、忧虑、紧张甚至恐惧的情绪状态。身体会有失眠、心慌等植物神经功能亢进症状。当你处在目前的状态，你需要问一下发生了什么事情使得你如此的焦躁。\n你能选择来这里求助，是非常勇敢的行为，我曾经帮助过很多像你这样情况的朋友，咨询",真人
"['亲爱的，你有服用抗抑郁的药物吗？我们每个人都是神的孩子，她爱着我们，也爱着你的哥哥。痛苦一直也在陪伴着我们，他虽然不是我们的朋友，也是我们的熟人，因为某种原因他不愿意离开我们，那么好吧，每次醒来或碰面时就和这个熟人打个招呼，＂你好！痛苦！＂然后，我还要去会会我的邻居们，看看他们在干什么，有什么我感兴趣的人和事吗？有人需要我帮忙吗？\n', '抑郁是一种连正常人都经常会有的情绪反应，而抑郁症只是说这种情绪的程度加重并影响到了我们的正常生活，这种情况就要重视了，你可以在家人的陪同下去当地的三甲医院就诊咨询，几十年过去了，现在对于抑郁症已经发现出了完备而有效的治疗手法，有点耐心和信心，坚持配合一",真人
"['这种现象在中国还是不少的。正常，也不正常。老公没长大，公婆的爱是自私且不正确，就会有这样的事发生。先爱自己，才能解决他人的问题，明白？\n', '亲，理解你的进退两难，我想你来到这里，你的内心深处还是抱着对老公和家庭的一份爱，想找到一种途径让家庭关系更加和谐，如果真的是爱，我想我们需要用爱的方法去解决，去共情他，理解他，满足了他的需求他才可能会满足你的期待！另外不要在能量低的时候做决定，所以目前最重要的是处理和自己的关系，提升幸福感受力，再去处理和老公之间的问题，如果您需要深度探索，欢迎你关注和私信我，让我陪你找回自己，回到爱里，感受，疗愈。了解爱和被爱背后的真相。\n', '你用了“索取",真人
"['为了迎合别人而做出的改变会常常失掉自我的感受，如果别人又提出其他要求，是不是又要改变自己呢？这种为了别人而活着的模式会让自己逐渐的不知所措的。你们之间他对你有不满，不妨多去沟通，看看在他抱怨的背后主要是什么原因，更可能是他内心的情感需求未得到满足。\n', '您知道该如何爱自己吗？或许现在的您对未来关系的不确定，产生了怀疑。幸福像流沙般掌握您手中，是使劲握紧，还是摊开手掌心？\n', '你好，能够理解你的心情。不知道你们当初分手是因为什么？导致你们分手的这个问题现在解决了吗？问问自己的内心：你珍惜这段感情吗？你还想维持下去吗？如果你很珍惜这段感情，你想守住你们的爱情，你就需要做出改变，如果",真人
"['谢谢你认可我之前的分析。我先给你几个帮你改善状态见效比较快的建议。然后继续分析一些事情\n建议\n1加倍的对自己好。看得出你想对老公好，不想再伤害他。但是控制不住自己。那么如果你想对老公1倍好，就要对自己2倍好。如果你想对老公2倍好，就要对自己4倍好。\n原理是这样的。中国强调严以律己宽以待人。但是这是一句严重错误的话。对自己苛刻的人对别人会更苛刻。一个连自己都不会爱的人，不可能去爱别人\n对自己好包括物质上的，比如去饭店吃自己喜欢吃的各种东西，定期旅游，每周按摩spar,海淘各种东西。 也包括精神上的，比如累了就休息，多奖励自己的进步，听音乐等\n当你做了这些后，可能会发现对丈夫的态度也",真人
"['只要他对你来说是个重要的人，目前的这个低谷就是你所需要经历的，不要为难自己一定要很快走出来，这值得你用时间去难过，去哀悼。只是这个过程独自面对会很艰难，如果你能够有人陪伴在身边，你的难过，想念，悲伤种种情绪可以被说出来，可以被听到，陪你去完成你所需要的悼念，那会好很多。\n', '需要做哀伤告别，你可以把想对他说的话写下来，把他生前有关的物品收集起来，找一个安静的地方坐下来，在这个时间里你可以尽情的想他的好，想他如果在你面前会对你说什么。然后向他表达你的所思所想，不要压抑自己。把你写下来的思念他的话念给他听，告诉他，你非常难过，非常想他，你的生活全乱了，为了让他在那边不在为你担心，你决定把",真人
['\n看到你的问题，涛之的思维被定格，很多时候，我也在想活着的意义。\n四年前，我在上海第二军医大学做过一个关于《自杀预防》的报告，之前对这个问题做了一些研究。\n心理治疗是一项具体化技术，你提供的细节比较少，我会尽可能的回答你。\n\n\n\n一年后回访，才知道，她自缢而亡。\n\n此后很长时间，我为这件事而愧疚，严重怀疑自己的心理学知识与技术。\n\n\n后来的工作经历中，依然有类似的事件发生，但我没有再彷徨和怀疑过自己。\n\n人为什么而活？\n这是一个哲学命题，谁都说不清楚。\n\n\n\n这个时候谁都怕你了，亲戚朋友怕你借钱、领导怕你不能回来工作、医生怕你支付不起医疗费，随时看你余,真人
"['丢了芝麻才能有机会捡了西瓜。\n世界并不是绝对安全的，你所说的情况，也是可能存在的。怀疑是理所应当的。\n周遭的所有人都不是真心对你，无论是夸奖还是否定。因为你的内心有这样一个信念“你是不值得被爱，不值得被真正对待的”。\n你用回避人的方式保护自己，（芝麻）。\n而因为回避人，使得自己更加的不了解人。反而让自己陷入更不安全的境地。\n丢了这样的做法（芝麻），你才有机会捡到（西瓜）。\n\n', '我们有两个世界，一个是外在的世界，另一个是内在世界，当我们的内在对自己有太多评判，有太多攻击时，就会生发内心的冲突，既想和世界保持连接，又因为害怕外界的不安全而封闭自己，因为控制不了自己的这种冲突",真人
